record - object_number,record - Title - title,record - Production - creator - name,record - Production - creator - birth.date.start,record - Production - creator - death.date.start,record - Dimension - dimension.unit - term,record - Dimension - dimension.type - term,record - Dimension - dimension.value,record - Material - material - term,record - institution.name - name,record - Object_name - object_name - term,record - Production - creator.date_of_birth,record - production.period - linkreffield,record - production.period - term,record - Production_date - production.date.start,record - Production_date - production.date.end,IRL,Rights
,Baadster (Grote Baadster I),,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.520,Dabeisein ist alles,Kati Heck,1979,,,hoogte,350,polyester,Middelheimmuseum (Antwerpen),installatie,1979,production.period.lref,21ste eeuw (eerste kwart),2006,2006,http://middelheimmuseum.be/collection/work/id/MID_B_520,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,breedte,600,wood,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,diepte,600,hout,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,plastic,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,plastic,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.128,Philippe d'Arschot,Bernhard Heiliger,1915-11-11,1995-10-25,cm,hoogte,55,bronze,Middelheimmuseum (Antwerpen),kop (figuurvoorstelling),1915-11-11,production.period.lref,20ste eeuw (derde kwart),1955,1955,http://middelheimmuseum.be/collection/work/id/MID_B_128,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,32,brons,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,30,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.147,Cantate Domino,Barbara Hepworth,1903-01-10,1975-05-20,cm,hoogte,209,bronze,Middelheimmuseum (Antwerpen),sculpture,1903-01-10,production.period.lref,20ste eeuw (derde kwart),1958,1958,http://middelheimmuseum.be/collection/work/id/MID_B_147,https://creativecommons.org/publicdomain/zero/1.0/
,,Art Bronze Foundry (Fulham),,,cm,breedte,53,brons,,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,51,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,hoogte,86,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,57,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,55,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.290,Equa tria N°23,Pierre Heyvaert,1934-11-12,1974-02-04,cm,hoogte,195,aluminium,Middelheimmuseum (Antwerpen),sculpture,1934-11-12,production.period.lref,20ste eeuw (derde kwart),1971,1971,http://middelheimmuseum.be/collection/work/id/MID_B_290,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,290,,,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,128,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.252,Jeugd,Jan Alfons Keustermans,1940,,cm,hoogte,134,bronze,Middelheimmuseum (Antwerpen),rondsculptuur,1940,production.period.lref,20ste eeuw (derde kwart),1962,1962,http://middelheimmuseum.be/collection/work/id/MID_B_252,https://creativecommons.org/publicdomain/zero/1.0/
,Youth,,,,cm,breedte,40,brons,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Jeunesse,,,,cm,diepte,40,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Jugend,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.416,Bali,Phillip King,1934,,cm,hoogte,184,staal (materiaal),Middelheimmuseum (Antwerpen),sculpture,1934,production.period.lref,20ste eeuw (vierde kwart),1977,1977,http://middelheimmuseum.be/collection/work/id/MID_B_416,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,352,paint (coating),,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,226,verf,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
